id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,clean_tweet,compound,neg,neu,pos,sentiment
1390772888022610000,2021-05-07,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",I’m on a waiting list for Covid-19 vaccine with the State of Oregon. I got an email announcing an event for the J&amp;J… https://t.co/wRUE8rb4Jx,en,0.0,16.0,voline1,,,Cascadia,wait list covid19 vaccin state oregon got email announc event ,0.0,0.0,1.0,0.0,neu
1395063390456880000,2021-05-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",This morning's Covid-19 stats. https://t.co/T06kziPHxE,en,2.0,1.0,ReliableAB,,,Alberta,morn covid19 stat,0.0,0.0,1.0,0.0,neu
1388118271065520000,2021-04-30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",India COVID-19 variant detected in Shelby County https://t.co/5M1iU9pV5r,en,0.0,12.0,GaleJonesCarson,,,Memphis,india covid19 variant detect shelbi counti,0.0,0.0,1.0,0.0,neu
1394643485270150000,2021-05-18,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">fff-bot</a>","RT @meiklwagner: Starship – Sara, 1985, Grunt Records. On YouTube: https://t.co/amOnJ2EGkG #Berlin👑 #GlobalCitizen #Brexit #Covid19de #Frid…",en,0.0,22.0,FFFBot1,"Berlin, GlobalCitizen, Brexit, Covid19de",meiklwagner,,starship sara grunt record youtub,0.0,0.0,1.0,0.0,neu
1401960000000000000,2021-06-07,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",KIU law student allegedly succumbs to COVID-19. https://t.co/l4mWIIxex2,en,0.0,0.0,nkorestate,,,"Bristol, England",kiu law student allegedli succumb covid19,0.0,0.0,1.0,0.0,neu
1395062958430900000,2021-05-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Covid-19 Home Testing using CoviSelf Kit

#Covid_19 #Corona https://t.co/Lg0o8rRLay",en,0.0,0.0,dhavald9,"Covid_19, Corona",,"Pune, India",covid19 home test use coviself kit,0.0,0.0,1.0,0.0,neu
1395055563982050000,2021-05-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @boneteacher: 🔺Regarding #Covid Vaccine 🇮🇳⠀
Updates  in HINDI - 19 May 2021⠀
⠀
#COVID19 #CovidVaccine #COVID19India #CovidIndia https://…",en,0.0,34.0,HopeSmileDream,"Covid, COVID19, CovidVaccine, COVID19India, CovidIndia",boneteacher,India,regard vaccin updat hindi may http,0.0,0.0,1.0,0.0,neu
1388511907640860000,2021-05-01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @influenzer3: One dose of COVID-19 vaccine can cut household transmission by up to half
https://t.co/IGwdGt7WWi",en,0.0,38.0,ikotto,,influenzer3,Japan　YOI沼,one dose covid19 vaccin cut household transmiss half,-0.2732,0.231,0.769,0.0,neg
1393799025711840000,2021-05-16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jvalentingg: Just published our latest manuscript: Hemolytic crisis due to Covid‐19 vaccination in a woman with cold agglutinin disease…,en,0.0,1272.0,DavilaPiluca,,jvalentingg,,publish latest manuscript hemolyt crisi due covid19 vaccin woman cold agglutinin diseas,0.0,0.0,1.0,0.0,neu
1397623866160300000,2021-05-26,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","As COVID-19 case counts decrease, life feels more normal. Are Pennsylvanians ready for a Memorial Day with less mas… https://t.co/ovDoL7GZi4",en,0.0,386.0,LDNews,,,"Lebanon County, Pennsylvania",covid19 case count decreas life feel normal pennsylvanian readi memori day le ma,0.0,0.0,1.0,0.0,neu
1402360000000000000,2021-06-08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NorthsideNbr: With two of Fulton County’s three fixed COVID-19 vaccination sites closing this month, it is ramping up its strategy to s…",en,0.0,6553.0,NeighborEverett,,NorthsideNbr,"Atlanta, GA",two fulton counti three fix covid19 vaccin site close month ramp strategi,0.0,0.0,1.0,0.0,neu
1404910000000000000,2021-06-15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The first state to shut down due to Covid-19 reopens today

https://t.co/rxPtLKNfd8",en,0.0,0.0,EugeneP67687792,,,,first state shut due covid19 reopen today,0.0,0.0,1.0,0.0,neu
1390048286363480000,2021-05-05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",A great article by @meradfor  https://t.co/BueDxEp1Kr,en,0.0,1251.0,realscientists,,meradfor,Everywhere,great articl,0.6249,0.0,0.196,0.804,pos
1401250000000000000,2021-06-05,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Nearly for seven months now, human rights violations are taking place across #Tigray! Woman &amp; children are being se… https://t.co/nTNi2LObxp",en,0.0,0.0,Kibrey4,Tigray,,,nearli seven month human right violat take place across woman child se,0.0,0.0,1.0,0.0,neu
1393790523853440000,2021-05-16,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @wesbury: I am reading COVID-19: The Great Reset, by Klaus Schwab, the founder of The World Economic Forum. Their big meeting is in Davo…",en,0.0,16.0,Quantus76,,wesbury,,read covid19 great reset klau schwab founder world econom forum big meet davo,0.6249,0.0,0.745,0.255,pos
